"","ENS","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000166224","SGPL1",3625.36833055547,4.14491315303864,0.0943070447633027,0,0
"2","ENSG00000137801","THBS1",4663.82002523088,3.19972044790227,0.100899258187627,1.04907051320984e-222,9.0372179360462e-219
"3","ENSG00000103811","CTSH",912.347409985892,-3.04724761562185,0.110042956418919,2.88353947135225e-171,1.6560167183976e-167
"4","ENSG00000125730","C3",624.137337826395,-3.228619626097,0.122974149667664,7.05800873412115e-154,3.04006081200433e-150
"5","ENSG00000136068","FLNB",27360.0245988313,2.12357137324074,0.0820683812668867,4.94448797920357e-151,1.70377166787397e-147
"6","ENSG00000165272","AQP3",2470.58475554486,-2.15319371144647,0.08407329055958,3.61380894310684e-148,1.03770523801313e-144
"7","ENSG00000115414","FN1",22476.5902350831,2.28529199568429,0.0961139479206046,7.57929462440417e-129,1.86548095834085e-125
"8","ENSG00000148175","STOM",1968.284497369,-1.86865645412355,0.0792120948627187,1.43067989044341e-125,3.0811479790562e-122
"9","ENSG00000170477","KRT4",944.724247350751,-2.46052732402351,0.107690186533689,1.21337562731698e-119,2.32280540922713e-116
"10","ENSG00000049130","KITLG",1805.06952448298,-1.91637997090919,0.0834648500899567,2.41127947814034e-119,4.154393412888e-116
"11","ENSG00000205420","KRT6A",53316.3583622837,1.80334598918421,0.0785925588016462,7.67852587444604e-119,1.20266656628028e-115
"12","ENSG00000197694","SPTAN1",4500.71124768619,1.94428408395105,0.0851373911494125,3.28927985381808e-118,4.72258355011931e-115
"13","ENSG00000170345","FOS",412.884500670306,-3.07560926898779,0.135415758965278,1.2760270750889e-116,1.69112849820821e-113
"14","ENSG00000138413","IDH1",4974.36552091679,-1.5814107088745,0.0694997521582609,2.33102594460919e-116,2.86866042854798e-113
"15","ENSG00000196139","AKR1C3",753.033852284469,-2.40288756904104,0.106786990835538,3.40206882004167e-116,3.90761624669987e-113
"16","ENSG00000196924","FLNA",10602.6859936727,1.72131899258344,0.0763640209684333,1.31664697791635e-114,1.41778192390755e-111
"17","ENSG00000100345","MYH9",14407.1701587699,1.51859979573245,0.0676131972661222,2.52727962586948e-113,2.56132356906502e-110
"18","ENSG00000156508","EEF1A1",133426.068402048,-1.39339487753627,0.0622518125624118,2.61455521352183e-112,2.50256509854265e-109
"19","ENSG00000079215","SLC1A3",687.070680625742,-2.58606336968548,0.116987939939656,2.85992105973475e-112,2.59334631253526e-109
"20","ENSG00000138829","FBN2",2555.66488449519,2.50139872753966,0.113432650166662,7.54548683979022e-112,6.50005963813729e-109
"21","ENSG00000164120","HPGD",399.891343272305,-3.68546153006674,0.165479993826948,3.28457828075076e-111,2.69476186662166e-108
"22","ENSG00000134871","COL4A2",1906.54216174131,1.82953322236976,0.0852923870181027,1.77924962206047e-104,1.39339507902181e-101
