"","ENS","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000114270","COL7A1",4228.5955156728,-2.42416878227374,0.108533309903239,1.00594238041781e-114,1.69823192662134e-110
"2","ENSG00000156508","EEF1A1",133426.068402048,1.34990856443205,0.0621834045323036,5.54793679295907e-106,4.68301344693675e-102
"3","ENSG00000100345","MYH9",14407.1701587699,-1.46131258552959,0.0675815042673547,1.65135519070911e-105,9.29272610985038e-102
"4","ENSG00000136068","FLNB",27360.0245988313,-1.73404793019695,0.0819892012985212,2.06887793605216e-102,8.73169932910812e-99
"5","ENSG00000170345","FOS",412.884500670306,2.87542034820659,0.135513375395983,2.89775905130695e-102,9.78399366083279e-99
"6","ENSG00000120738","EGR1",437.402951696532,2.79990436045809,0.133044963124978,7.91875030315578e-101,2.2280723769646e-97
"7","ENSG00000103811","CTSH",912.347409985892,2.20193049547008,0.10743993776022,2.03959020693393e-98,4.91890883906553e-95
"8","ENSG00000197694","SPTAN1",4500.71124768619,-1.76448574356938,0.0853870072785037,3.4680005172015e-98,7.31834809142446e-95
"9","ENSG00000173726","TOMM20",3599.9750986371,1.51750385592792,0.0746366726859086,6.27124343452858e-94,1.17634590735235e-90
"10","ENSG00000163220","S100A9",949.296724554937,2.79484213191937,0.139532027051664,8.69435942489035e-92,1.33434705282726e-88
"11","ENSG00000205420","KRT6A",53316.3583622837,-1.57438365684242,0.0784638556158452,7.97634438917109e-92,1.33434705282726e-88
"12","ENSG00000100097","LGALS1",3228.38863500295,1.91132513416031,0.101251676920193,1.00607608985751e-83,1.41538137908121e-80
"13","ENSG00000173898","SPTBN2",1304.62769078453,-2.03085443602784,0.1084924203824,5.12535151618323e-83,6.65586033047733e-80
"14","ENSG00000143320","CRABP2",1691.45414216562,1.93638093680781,0.10432116537964,2.70040293337958e-81,3.25630016580815e-78
"15","ENSG00000169710","FASN",12025.2132247946,-1.71534132947387,0.0941234448638275,3.15196138376482e-77,3.54742747204785e-74
"16","ENSG00000138829","FBN2",2555.66488449519,-2.04981042194055,0.114530266141333,1.61333255020899e-76,1.70226750703926e-73
"17","ENSG00000113140","SPARC",1260.71240043098,1.4385258830211,0.0798235794792699,2.33595045171326e-74,2.31973620740137e-71
"18","ENSG00000136542","GALNT5",2986.75852088206,-1.70370966097193,0.0964978721187866,1.02789743475591e-72,9.6405358297496e-70
"19","ENSG00000196924","FLNA",10602.6859936727,-1.35866681156756,0.076191199613983,1.2019291152557e-72,1.06794564861825e-69
"20","ENSG00000038219","BOD1L1",1040.26612789116,-2.18689203259568,0.128737444988124,9.45714633890043e-70,7.98277722466585e-67
"21","ENSG00000115414","FN1",22476.5902350831,-1.65098113942995,0.0955979217493317,1.72698419397801e-69,1.38833081727318e-66
"22","ENSG00000117335","CD46",3194.07488366132,1.27644445565536,0.0737884231254487,2.32141782491413e-68,1.78137162364547e-65
"23","ENSG00000130396","AFDN",996.95855829005,-1.83144766148483,0.108136271111057,4.37849718105749e-68,3.2138169308962e-65
"24","ENSG00000143742","SRP9",2424.37928352842,1.33228840678174,0.0778793664103172,4.64951253219333e-67,3.27054460702033e-64
"25","ENSG00000125844","RRBP1",2750.21227202664,-1.29763465397716,0.0761550251361626,1.80329453215007e-66,1.19734978483199e-63
"26","ENSG00000137801","THBS1",4663.82002523088,-1.71168679505572,0.101788361080084,1.84404065902333e-66,1.19734978483199e-63
"27","ENSG00000213553","RPLP0P6",1597.50032679285,1.52262156923877,0.0905917148299516,1.85884995485648e-65,1.16226314584767e-62
"28","ENSG00000162704","ARPC5",2764.77692119042,1.32918558882937,0.0805837911518919,1.44304352231629e-62,8.70052169419414e-60
"29","ENSG00000134871","COL4A2",1906.54216174131,-1.40214161058715,0.0855038599416126,4.42010407080704e-62,2.57311023873671e-59
"30","ENSG00000089157","RPLP0",26773.57354754,1.42648904469976,0.0877683235102637,4.04216208857265e-61,2.27465934597612e-58
"31","ENSG00000167880","EVPL",2900.31554151484,-1.58870620629708,0.0993414555077245,6.37521240380499e-60,3.47181728390438e-57
"32","ENSG00000142541","RPL13A",22822.5781203565,1.27698893942976,0.0803774765953174,3.6987770702037e-58,1.95133607809934e-55
"33","ENSG00000125730","C3",624.137337826395,1.77038201333425,0.113631684981028,4.33786476872049e-58,2.21914645531937e-55
