Gene
ABCG4
ABHD17B
ACAP2
ADAP2
ADGRF1
ADH7
AKIRIN1
AKR1B10
ANKRD13C
ARG1
ARNTL2
ARSF
ATP11B
ATP6V1A
BUB1
C10orf99
C12orf56
C16orf72
C1orf43
C5orf66
CARD6
CCDC63
CCNA2
CDRT1
CHRNA9
CYSRT1
DEFB103B
DEFB4A
DOCK9
EHF
ELL2
FBXO45
FBXW11
FCRLB
FUT2
FUT3
GBP6
GDA
GPLD1
GRHL3
HAL
HEATR3
HPSE
HYAL4
IL36B
IL36G
INA
ITCH
KCNK10
KIAA0513
KLHL18
KLK8
KYNU
LCE3D
LRRC20
MAP2
MCM10
MPZL2
MXD1
NAA30
NDRG4
NFASC
NPR3
NWD2
OTUB2
PAWR
PI3
PLA2G4D
PLCD4
POF1B
POLR3G
PPARD
PRRC1
PRSS27
PTGER3
RAB27B
RAB5A
RAET1E
RALGPS2
RBM33
RDH16
RGS20
RHCE
RIT1
RPS11P6
S100A12
S100A7A
S100A9
SERPINB13
SERPINB4
SFT2D2
SLC37A2
SLC6A15
SLC7A11
SOX21-AS1
SPATA6L
SRPK1
STK4
STRIP2
STS
SYNJ1
TAB3
TBC1D12
TEX101
TGFA
TMC5
TMEM45B
TTC39A
UBE3C
VNN3
VRK3
VWA3A
ZIC2
ACSS3
AGR3
ANKRD33B
BTC
C1orf95
CHAD
FAM171B
FIBIN
GATA6
KALRN
LAMC2
LIF
PDK4
PPAPDC1A
RORC
TMEM132B
TNN
UPK1B
ZNF365
