ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000165171,METTL27,7.797810772,10.703272,9.829676192,13.86813359,11.19142342,11.65462269,16.27307403,15.83514819,16.70047419
ENSG00000087995,METTL2A,15.02157202,15.025976,15.45040059,16.72065997,15.80794558,19.42652574,12.53927086,16.04790611,15.86915202
ENSG00000165055,METTL2B,19.00859135,21.97359309,21.11872941,11.97767828,12.97279127,14.05446592,20.13820038,18.61541979,22.43606255
ENSG00000165819,METTL3,15.58170291,19.41843694,21.25901261,8.508754202,9.915939612,11.90536665,18.84133772,26.53609368,28.62297925
ENSG00000101574,METTL4,7.673422214,9.5650261,8.915975649,8.150314708,9.428037173,8.285603644,8.986580542,8.855243364,11.97807284
ENSG00000138382,METTL5,54.49255467,54.92250053,48.14399756,54.32532749,59.67033135,57.08225944,61.27536568,50.50520114,60.18407181
ENSG00000206562,METTL6,9.352213085,9.332861027,7.646440215,10.7823496,10.38823799,12.34859086,9.336894951,8.074458466,9.620603951
ENSG00000185432,METTL7A,138.8067122,162.2457196,154.5367989,139.6169926,143.3249024,131.2016687,60.55292293,49.21087422,47.88623085
ENSG00000123600,METTL8,16.40397113,16.81793491,17.57131656,13.69330204,13.97306757,14.17763762,13.81935163,15.39555483,15.26255989
ENSG00000197006,METTL9,71.864622,67.52082094,69.30021361,92.77867136,90.75047723,98.8660957,71.33424759,66.79390284,76.4950181
ENSG00000254726,MEX3A,1.121669617,1.046527716,1.743950754,0.854265246,0.343545934,0.827090848,2.72082045,2.037626812,1.814893969
ENSG00000176624,MEX3C,29.61435128,32.64362731,28.44753031,25.49685696,22.24707618,18.83837849,34.53505637,37.59283303,30.24676686
ENSG00000181588,MEX3D,47.45509808,51.58121676,54.04374884,51.78896343,57.33606848,42.27191672,63.41930993,66.57995772,62.85534632
